region,parameter,s,z,var_s,p,sslp,trend
I,ESO4_uekv/l,-991.0,-11.63525509403131,7239.666666666666,0.0,-0.8412699999999997,decreasing
I,ECa-Mg_uekv/l,-60.0,-0.6933663075078519,7240.666666666666,0.48807970071388085,-0.04429083333333361,no trend
I,ANC_uekv/l,705.0,8.27281655005634,7241.666666666666,2.220446049250313e-16,1.1235575000000004,increasing
I,pH,657.0,7.7133778580770835,7232.999999999999,1.2212453270876722e-14,0.015263157894736845,increasing
I,LAL_ug/l,-8.0,-0.08264130673512297,7174.666666666667,0.9341367555671447,0.0,no trend
I,TOC_mg-C/l,387.0,4.545792767979856,7210.333333333333,5.4728864435915625e-06,0.026666666666666648,increasing
IV,ESO4_uekv/l,-1679.0,-14.151564147572177,14059.666666666666,0.0,-2.06651,decreasing
IV,ECa-Mg_uekv/l,-711.0,-5.987848953978692,14059.666666666666,2.1263439897722947e-09,-0.5111227564102564,decreasing
IV,ANC_uekv/l,1315.0,11.081737359898593,14059.666666666666,0.0,1.9401192857142857,increasing
IV,pH,1137.0,9.586697014296265,14041.666666666666,0.0,0.021764705882353,increasing
IV,LAL_ug/l,-1066.0,-8.985502275273886,14048.000000000002,0.0,-2.6666666666666665,decreasing
IV,TOC_mg-C/l,981.0,8.270606652674687,14040.333333333334,2.220446049250313e-16,0.0918181818181818,increasing
II,ESO4_uekv/l,-2320.0,-16.069846166706817,20824.666666666664,0.0,-2.2696648263888886,decreasing
II,ECa-Mg_uekv/l,-1546.0,-10.705787053760268,20826.666666666664,0.0,-0.8966040760389037,decreasing
II,ANC_uekv/l,1788.0,12.382680559915599,20826.666666666664,0.0,1.7542065614035092,increasing
II,pH,1279.0,8.859702987302262,20807.666666666664,0.0,0.01428571428571431,increasing
II,LAL_ug/l,-1201.0,-8.320436273483097,20800.333333333332,0.0,-2.0000000000000004,decreasing
II,TOC_mg-C/l,1113.0,7.711259617325164,20795.0,1.2434497875801753e-14,0.08614814814814814,increasing
X,ESO4_uekv/l,-720.0,-8.666635310745093,6882.666666666667,0.0,-1.3306742663043472,decreasing
X,ECa-Mg_uekv/l,54.0,0.6388479436293324,6882.666666666667,0.522921855509767,0.0802303846153839,no trend
X,ANC_uekv/l,700.0,8.425560615035911,6882.666666666667,0.0,1.9263091125541125,increasing
X,pH,693.0,8.348667986226507,6870.333333333334,0.0,0.020000000000000316,increasing
X,LAL_ug/l,14.0,0.16038386220948114,6569.999999999999,0.8725787011511899,0.0,no trend
X,TOC_mg-C/l,321.0,3.8745917870024393,6821.0,0.00010680358242098897,0.013137254901960767,increasing
V,ESO4_uekv/l,-1374.0,-12.677147142636008,11730.0,0.0,-1.6488776,decreasing
V,ECa-Mg_uekv/l,-520.0,-4.792017018957092,11730.0,1.6511289293585918e-06,-0.3514439999999999,decreasing
V,ANC_uekv/l,978.0,9.020810457651406,11730.0,0.0,1.8899920000000001,increasing
V,pH,998.0,9.211234385281168,11715.333333333332,0.0,0.021568627450980368,increasing
V,LAL_ug/l,-899.0,-8.295752124677072,11717.666666666666,0.0,-2.833333333333334,decreasing
V,TOC_mg-C/l,950.0,8.77200874309453,11704.0,0.0,0.03611111111111106,increasing
III,ESO4_uekv/l,-671.0,-9.23720648536655,5261.0,0.0,-0.8624024747474749,decreasing
III,ECa-Mg_uekv/l,-87.0,-1.1856712802112288,5261.0,0.23575214060493388,-0.10593597222222106,no trend
III,ANC_uekv/l,524.0,7.209850624536281,5262.0,5.60218538225854e-13,1.0438662037037039,increasing
III,pH,490.0,6.743705065232814,5258.0,1.5439871603462052e-11,0.023333333333333428,increasing
III,LAL_ug/l,-208.0,-2.866900355272018,5213.333333333333,0.004145135015002799,-0.14068825910931176,decreasing
III,TOC_mg-C/l,324.0,4.454430953108791,5258.0,8.411599311086704e-06,0.010350877192982456,increasing
VII,ESO4_uekv/l,-1209.0,-11.506849504471477,11021.0,0.0,-0.42436677419354835,decreasing
VII,ECa-Mg_uekv/l,16.0,0.1428765831706107,11022.0,0.8863876527344121,0.002630833333333508,no trend
VII,ANC_uekv/l,941.0,8.953193070217464,11023.0,0.0,0.6463140350877193,increasing
VII,pH,1020.0,9.70960690839739,11014.0,0.0,0.018888888888888882,increasing
VII,LAL_ug/l,-588.0,-5.6032813815041465,10974.666666666668,2.1033135677583914e-08,-0.3333333333333333,decreasing
VII,TOC_mg-C/l,60.0,0.562389569590987,11006.0,0.5738506240062637,0.0010256410256410321,no trend
VI,ESO4_uekv/l,-892.0,-9.708517041764388,8422.666666666666,0.0,-0.906736,decreasing
VI,ECa-Mg_uekv/l,-150.0,-1.6235342752221031,8422.666666666666,0.10447524250493267,-0.10405453081232498,no trend
VI,ANC_uekv/l,704.0,7.660030842155292,8422.666666666666,1.865174681370263e-14,1.116824431818182,increasing
VI,pH,730.0,7.945218977030653,8418.666666666666,1.9984014443252818e-15,0.026904761904761924,increasing
VI,LAL_ug/l,-651.0,-7.09391144746038,8395.666666666666,1.3038459201197838e-12,-1.5,decreasing
VI,TOC_mg-C/l,565.0,6.155332394411776,8395.666666666666,7.492018117005728e-10,0.020875,increasing
IX,ESO4_uekv/l,-34.0,-0.9964984287699772,1096.6666666666667,0.3190080301151297,-0.0524026362179487,no trend
IX,ECa-Mg_uekv/l,90.0,2.6875260654705446,1096.6666666666667,0.007198348391553422,0.43646352083333295,increasing
IX,ANC_uekv/l,90.0,2.6875260654705446,1096.6666666666667,0.007198348391553422,0.4849736499999999,increasing
IX,pH,66.0,1.964592174394741,1094.6666666666667,0.049461458439756134,0.005634920634920839,increasing
IX,LAL_ug/l,87.0,2.6092572470734536,1086.3333333333333,0.009073900073062857,0.18181818181818182,increasing
IX,TOC_mg-C/l,41.0,1.2084279640112776,1095.6666666666667,0.22688268885268403,0.0032539682539682365,no trend
VIII,ESO4_uekv/l,-469.0,-5.204392390329606,8086.333333333334,1.9463236622385693e-07,-0.20392529411764707,decreasing
VIII,ECa-Mg_uekv/l,265.0,2.9346016451584553,8093.0,0.003339761465631419,0.20926399999999973,increasing
VIII,ANC_uekv/l,613.0,6.802940177412783,8093.0,1.0250467141759145e-11,0.7292633333333335,increasing
VIII,pH,397.0,4.403716637971206,8086.333333333333,1.0641191712457143e-05,0.009230769230769239,increasing
VIII,LAL_ug/l,289.0,3.273502341364007,7740.333333333334,0.001062235106070064,0.03333333333333333,increasing
VIII,TOC_mg-C/l,196.0,2.170421259572428,8072.0,0.029974947708887534,0.004700000000000002,increasing
